instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group
1,2011-01-01,1,0,Januari,0,6,0,2,0.344167,18.18125,0.805833,0.160446,331,654,985,Sejuk
2,2011-01-02,1,0,Januari,0,0,0,2,0.363478,17.686950000000003,0.696087,0.248539,131,670,801,Dingin
3,2011-01-03,1,0,Januari,0,1,1,1,0.196364,9.47025,0.437273,0.248309,120,1229,1349,Dingin
4,2011-01-04,1,0,Januari,0,2,1,1,0.2,10.6061,0.590435,0.160296,108,1454,1562,Dingin
5,2011-01-05,1,0,Januari,0,3,1,1,0.226957,11.4635,0.436957,0.1869,82,1518,1600,Dingin
6,2011-01-06,1,0,Januari,0,4,1,1,0.204348,11.66045,0.518261,0.0895652,88,1518,1606,Dingin
7,2011-01-07,1,0,Januari,0,5,1,2,0.196522,10.44195,0.498696,0.168726,148,1362,1510,Dingin
8,2011-01-08,1,0,Januari,0,6,0,2,0.165,8.1127,0.535833,0.266804,68,891,959,Dingin
9,2011-01-09,1,0,Januari,0,0,0,1,0.138333,5.80875,0.434167,0.36195,54,768,822,Dingin
10,2011-01-10,1,0,Januari,0,1,1,1,0.150833,7.5443999999999996,0.482917,0.223267,41,1280,1321,Dingin
11,2011-01-11,1,0,Januari,0,2,1,2,0.169091,9.5732,0.686364,0.122132,43,1220,1263,Dingin
12,2011-01-12,1,0,Januari,0,3,1,1,0.172727,8.02365,0.599545,0.304627,25,1137,1162,Dingin
13,2011-01-13,1,0,Januari,0,4,1,1,0.165,7.544149999999999,0.470417,0.301,38,1368,1406,Dingin
14,2011-01-14,1,0,Januari,0,5,1,1,0.16087,9.42065,0.537826,0.126548,54,1367,1421,Dingin
15,2011-01-15,1,0,Januari,0,6,0,2,0.233333,12.4056,0.49875,0.157963,222,1026,1248,Dingin
16,2011-01-16,1,0,Januari,0,0,0,1,0.231667,11.71085,0.48375,0.188433,251,953,1204,Dingin
17,2011-01-17,1,0,Januari,1,1,0,2,0.175833,8.838550000000001,0.5375,0.194017,117,883,1000,Dingin
18,2011-01-18,1,0,Januari,0,2,1,2,0.216667,11.61665,0.861667,0.146775,9,674,683,Dingin
19,2011-01-19,1,0,Januari,0,3,1,2,0.292174,14.921100000000001,0.741739,0.208317,78,1572,1650,Dingin
20,2011-01-20,1,0,Januari,0,4,1,2,0.261667,12.7525,0.538333,0.195904,83,1844,1927,Dingin
21,2011-01-21,1,0,Januari,0,5,1,1,0.1775,7.89165,0.457083,0.353242,75,1468,1543,Dingin
22,2011-01-22,1,0,Januari,0,6,0,1,0.0591304,3.9534800000000003,0.4,0.17197,93,888,981,Dingin
23,2011-01-23,1,0,Januari,0,0,0,1,0.0965217,4.941955,0.436522,0.2466,150,836,986,Dingin
24,2011-01-24,1,0,Januari,0,1,1,1,0.0973913,5.8965,0.491739,0.15833,86,1330,1416,Dingin
25,2011-01-25,1,0,Januari,0,2,1,2,0.223478,11.7263,0.616957,0.129796,186,1799,1985,Dingin
26,2011-01-26,1,0,Januari,0,3,1,3,0.2175,10.18,0.8625,0.29385,34,472,506,Dingin
27,2011-01-27,1,0,Januari,0,4,1,1,0.195,10.985,0.6875,0.113837,15,416,431,Dingin
28,2011-01-28,1,0,Januari,0,5,1,2,0.203478,11.165849999999999,0.793043,0.1233,38,1129,1167,Dingin
29,2011-01-29,1,0,Januari,0,6,0,1,0.196522,10.606300000000001,0.651739,0.145365,123,975,1098,Dingin
30,2011-01-30,1,0,Januari,0,0,0,1,0.216522,12.5161,0.722174,0.0739826,140,956,1096,Dingin
31,2011-01-31,1,0,Januari,0,1,1,2,0.180833,9.3125,0.60375,0.187192,42,1459,1501,Dingin
32,2011-02-01,1,0,Februari,0,2,1,2,0.192174,11.7265,0.829565,0.053213,47,1313,1360,Dingin
33,2011-02-02,1,0,Februari,0,3,1,2,0.26,12.72085,0.775417,0.264308,72,1454,1526,Dingin
34,2011-02-03,1,0,Februari,0,4,1,1,0.186957,8.8939,0.437826,0.277752,61,1489,1550,Dingin
35,2011-02-04,1,0,Februari,0,5,1,2,0.211304,11.429350000000001,0.585217,0.127839,88,1620,1708,Dingin
36,2011-02-05,1,0,Februari,0,6,0,2,0.233333,12.152899999999999,0.929167,0.161079,100,905,1005,Dingin
37,2011-02-06,1,0,Februari,0,0,0,1,0.285833,14.58355,0.568333,0.1418,354,1269,1623,Dingin
38,2011-02-07,1,0,Februari,0,1,1,1,0.271667,15.1829,0.738333,0.0454083,120,1592,1712,Dingin
39,2011-02-08,1,0,Februari,0,2,1,1,0.220833,9.9123,0.537917,0.36195,64,1466,1530,Dingin
40,2011-02-09,1,0,Februari,0,3,1,2,0.134783,7.21415,0.494783,0.188839,53,1552,1605,Dingin
41,2011-02-10,1,0,Februari,0,4,1,1,0.144348,7.477399999999999,0.437391,0.221935,47,1491,1538,Dingin
42,2011-02-11,1,0,Februari,0,5,1,1,0.189091,10.67545,0.506364,0.10855,149,1597,1746,Dingin
